aaa,9956252,9402,7,18
aab,9823330,8838,87,229
aac,9932257,11783,126,205
aad,9946561,9527,30,67
aae,9871278,7377,41,156
aaf,9647532,10915,240,369
aag,9869228,10574,167,310
aba,9753632,8581,183,295
abb,9921604,10004,72,114
abc,9993117,7814,176,324
abd,9968470,8215,109,227
abe,9907502,8769,231,446
abf,9999011,9420,30,140
abg,9863634,8927,141,259
aca,9671948,8263,157,357
acb,9742046,9102,57,137
acc,9535596,8776,48,111
acd,9943846,8169,66,169
ace,9972703,8117,218,351
acf,9870124,7394,60,115
acg,9845646,7555,185,297
ada,9995398,9155,37,93
adb,9935485,8701,24,62
adc,9647723,8440,44,78
add,9929053,10377,159,327
ade,9896787,8344,238,446
adf,9638559,9301,264,505
adg,9905212,8495,18,36
aea,9795292,7768,142,279
aeb,9695465,9218,28,81
aec,9953317,8254,187,286
aed,9712522,10439,24,75
aee,9703332,8346,33,73
aef,9966677,7690,182,342
aeg,9999959,9036,192,281
afa,9773442,9085,343,691
afb,9843523,9009,93,155
afc,9775810,9456,235,409
afd,9748278,9942,45,116
afe,9774348,7781,15,37
aff,9925709,7508,19,72
afg,9937746,9921,92,224
aga,9730055,11119,89,173
agb,9989518,8037,218,364
agc,9913224,8222,122,236
agd,9988435,8801,41,125
age,9914590,10505,426,782
agf,9845776,9770,95,269
agg,9996313,10099,10,26
baa,9941109,9853,120,182
bab,9933749,9110,16,82
bac,9959347,8754,227,415
bad,9984279,8956,114,259
bae,9918797,8843,123,196
baf,9773470,8213,37,77
bag,9856366,8928,80,212
bba,9690991,9228,11,27
bbb,9864244,7828,40,80
bbc,9882566,8336,62,111
bbd,9962976,7710,459,777
bbe,9846639,7956,192,361
bbf,9948817,7262,77,125
bbg,9845388,8947,68,116
bca,9669980,9125,52,94
bcb,9931002,8779,124,270
bcc,9908672,8763,89,155
bcd,9904503,9262,53,95
bce,9988318,8941,145,231
bcf,9828435,9861,99,182
bcg,9878137,8228,160,252
bda,9439371,8881,63,94
bdb,9862060,9764,115,167
bdc,9360817,7876,8,17
bdd,9909425,7889,319,503
bde,9875546,10161,281,431
bdf,9633485,9231,128,346
bdg,9826026,9504,29,96
bea,9908222,8196,183,346
beb,9962071,8451,96,190
bec,9625252,9164,143,275
bed,9516796,9856,281,442
bee,9224874,8901,9,29
bef,9987230,7858,56,93
beg,9888659,10624,89,286
bfa,9507431,8292,127,192
bfb,9915230,10690,5,16
bfc,9976806,8493,180,303
bfd,9829102,8545,86,245
bfe,9565927,9972,27,90
bff,9972652,8888,8,29
bfg,9737128,6457,565,1098
bga,9952292,9872,49,129
bgb,9973351,9661,63,94
bgc,9947806,9118,502,1006
bgd,9950476,10015,126,187
bge,9742899,7991,150,305
bgf,9970930,7983,376,829
bgg,9995417,9201,721,1174
caa,9934348,9857,98,264
cab,9921420,8936,157,235
cac,9874740,10416,158,266
cad,9944572,10020,13,43
cae,9943636,9035,322,685
caf,9985887,9701,63,198
cag,9938549,7980,144,265
cba,9964726,9436,113,257
cbb,9883767,10025,29,97
cbc,9640140,9581,80,161
cbd,9983920,9011,88,204
cbe,9620385,9249,79,242
cbf,9870994,7698,29,84
cbg,9978293,10077,202,325
cca,9911606,9181,27,53
ccb,9986881,8902,27,58
ccc,9994139,7351,246,374
ccd,9922648,8961,135,219
cce,9301341,7828,236,524
ccf,9833866,7849,41,61
ccg,9991073,7215,130,199
cda,9821577,10175,82,187
cdb,9830484,9802,62,180
cdc,9969920,8271,10,29
cdd,9973144,8531,115,206
cde,9895441,7003,243,315
cdf,9598001,11090,157,280
cdg,9996394,8115,114,200
cea,9373862,7423,51,121
ceb,9920945,9995,252,366
cec,9737394,9128,529,972
ced,9914275,8143,105,196
cee,9827399,7932,258,378
cef,9793987,7493,108,168
ceg,9798018,8197,128,230
cfa,9990652,8204,299,418
cfb,9898177,8147,24,103
cfc,9987642,8945,56,117
cfd,9971141,8215,35,81
